epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2866,1.47892,3.38664,1.19641,0.06043,0.37448,0.20725,0.11503,1.43796,3.37505,1.11779,0.00015003,0.00015003,0.00015003
2,31.1425,1.57448,2.46993,1.20674,0.07831,0.51046,0.25737,0.13307,1.63935,3.02885,1.22436,0.000306931,0.000306931,0.000306931
3,48.053,1.76271,1.61269,1.27228,0.70122,0.16203,0.29923,0.15374,1.85381,2.50208,1.2916,0.000453518,0.000453518,0.000453518
4,64.6294,1.54529,1.39202,1.17874,0.63182,0.20464,0.28352,0.16666,1.65049,2.43942,1.24568,0.00058979,0.00058979,0.00058979
5,79.993,1.45996,1.48593,1.20344,0.4994,0.22803,0.31351,0.15458,1.85838,2.21177,1.36241,0.000715747,0.000715747,0.000715747
6,96.3459,1.58873,1.33263,1.16645,0.56525,0.22385,0.35095,0.16868,1.78736,2.30069,1.36004,0.00083139,0.00083139,0.00083139
7,111.398,1.40391,1.20889,1.10055,0.60757,0.21377,0.36411,0.18737,1.75569,2.39174,1.38907,0.000936719,0.000936719,0.000936719
8,126.623,1.47763,1.28994,1.21652,0.63665,0.28243,0.38875,0.20512,1.75286,2.24431,1.41369,0.00103173,0.00103173,0.00103173
9,143.36,1.4347,1.3274,1.19894,0.60945,0.30753,0.39885,0.21048,1.74365,2.08499,1.39095,0.00111643,0.00111643,0.00111643
10,161.267,1.50678,1.54717,1.27612,0.45063,0.28314,0.28271,0.13666,1.9243,2.3228,1.58683,0.00119082,0.00119082,0.00119082
11,179.922,1.5209,1.33663,1.26049,0.51917,0.34334,0.37291,0.18324,1.79948,2.11532,1.447,0.00115127,0.00115127,0.00115127
12,194.662,1.51889,1.22902,1.21607,0.5939,0.43724,0.50118,0.24296,1.70003,1.7819,1.30079,0.0010997,0.0010997,0.0010997
13,207.5,1.32076,1.36699,1.11963,0.55362,0.45607,0.50833,0.26193,1.68802,1.68397,1.31005,0.00104813,0.00104813,0.00104813
14,221.659,1.38533,1.16405,1.14377,0.5886,0.49088,0.54213,0.28453,1.66725,1.51391,1.3597,0.000996553,0.000996553,0.000996553
15,237.039,1.39405,1.16682,1.17389,0.59547,0.49582,0.56127,0.30052,1.64712,1.3983,1.3467,0.000944981,0.000944981,0.000944981
16,250.877,1.3138,1.25105,1.15755,0.6368,0.49372,0.57721,0.30802,1.65886,1.33667,1.32703,0.000893408,0.000893408,0.000893408
17,264.428,1.37242,1.11749,1.09179,0.67744,0.50968,0.60698,0.32458,1.60883,1.26887,1.29183,0.000841835,0.000841835,0.000841835
18,278.158,1.31251,1.1028,1.13651,0.69801,0.5523,0.63998,0.34801,1.58764,1.26399,1.2432,0.000790262,0.000790262,0.000790262
19,291.714,1.27465,1.15271,1.07799,0.65588,0.55425,0.63708,0.3417,1.589,1.25296,1.22709,0.000738689,0.000738689,0.000738689
20,305.753,1.24162,1.01463,1.10788,0.73985,0.55926,0.66028,0.35368,1.57516,1.24406,1.23433,0.000687117,0.000687117,0.000687117
21,319.831,1.30269,1.06074,1.10775,0.72772,0.57591,0.67478,0.36813,1.56892,1.22484,1.24999,0.000635544,0.000635544,0.000635544
22,334.35,1.267,1.00156,1.08409,0.71319,0.5795,0.6641,0.361,1.56619,1.21005,1.27547,0.000583971,0.000583971,0.000583971
23,349.457,1.26115,1.3939,1.1105,0.69544,0.55892,0.64931,0.34936,1.57787,1.23449,1.2807,0.000532398,0.000532398,0.000532398
24,364.579,1.21337,1.47565,1.16688,0.68235,0.53347,0.63511,0.34084,1.60376,1.31096,1.29285,0.000480825,0.000480825,0.000480825
25,379.584,1.26744,2.26558,1.11098,0.67375,0.53572,0.63947,0.33371,1.62725,1.37765,1.29423,0.000429253,0.000429253,0.000429253
26,393.712,1.30108,1.11127,1.13704,0.66242,0.57322,0.65268,0.34177,1.60417,1.38464,1.27379,0.00037768,0.00037768,0.00037768
27,407.312,1.24521,1.0905,1.07145,0.63472,0.60879,0.6605,0.34642,1.57142,1.30483,1.25674,0.000326107,0.000326107,0.000326107
28,419.643,1.22022,1.10759,1.073,0.6804,0.60251,0.67241,0.35633,1.54274,1.2175,1.23946,0.000274534,0.000274534,0.000274534
29,432.239,1.21526,1.09523,1.05197,0.67827,0.59983,0.67954,0.36247,1.52455,1.1687,1.23165,0.000222961,0.000222961,0.000222961
30,445.343,1.17831,1.00803,1.06725,0.70599,0.58787,0.6835,0.36697,1.50581,1.1276,1.23362,0.000171388,0.000171388,0.000171388
31,459.828,1.26256,1.05889,1.12806,0.70839,0.59623,0.68217,0.36706,1.49948,1.12815,1.2349,0.000119816,0.000119816,0.000119816
32,474.189,1.15672,1.04229,1.07652,0.68914,0.60669,0.68043,0.36581,1.49753,1.12958,1.23579,6.82428e-05,6.82428e-05,6.82428e-05
